epoch,loss,val_loss
0,10.851961575508117,6.928958692412445
1,7.5741832733154295,6.810909478560738
2,7.049143852233887,6.237084457839745
3,6.907321936130524,6.088779753532963
4,6.720196346282959,6.050541089928669
5,6.606256244182586,6.069808849390002
6,6.543318344116211,5.995578316674716
7,6.463819719314575,5.878437664197839
8,6.427377673149109,5.847219923268193
9,6.376966733455658,5.822737755982772
0,6.352408721923828,5.701692470605822
1,6.285118909358978,5.687148266944332
0,6.3563018884658815,5.715135926785677
1,6.305049666404724,5.7059944678043975
2,6.3070249128341676,5.680146652719249
3,6.205619051456451,5.878836728524471
4,6.1394783945083615,5.574827691783076
5,6.132311790943146,5.654253779977992
6,6.1556528987884525,5.668219061865323
7,6.0984465084075925,5.594243194745935
8,6.0990664548873905,5.589061419169108
9,6.054134117603302,5.544717629750569
0,6.050687915802002,5.565460903057153
1,6.049538491249084,5.560724749081377
2,5.991493838310242,5.514861618263134
3,6.0162154679298405,5.5400729317596
4,5.984273850917816,5.553279952726502
5,5.97604500579834,5.514903213666833
6,5.930678051948547,5.469194370767345
7,5.90869819688797,5.581966856251592
8,5.909888995647431,5.489927146745765
9,5.945898321151733,5.507702329884404
10,5.91429722738266,5.519258388574572
11,5.88594428062439,5.463696231012759
12,5.887044886589051,5.509766454282015
13,5.879276312828064,5.463014160377392
14,5.845726283550262,5.530614583388619
15,5.871282960414886,5.511885815772457
16,5.840347651004791,5.434216879416203
17,5.838277924060821,5.435544497724893
0,5.789129759788513,5.4197714225105615
1,5.836441915035248,5.42447100514951
2,5.766835316181183,5.423117637634277
3,5.774336625576019,5.408320516779803
4,5.7643177399635315,5.411974665047466
5,5.797572146892548,5.414456346760625
6,5.797678515911103,5.411982764368472
7,5.780713111877441,5.412050005318462
8,5.802420658588409,5.42656247512154
9,5.771116275310517,5.405324355415676
10,5.760986903190613,5.413690767426422
11,5.816594552516937,5.416560131570567
12,5.803990822792053,5.411619490471439
13,5.778844091415405,5.422407171000605
14,5.76489962720871,5.425024046414141
15,5.749716183662414,5.406390791353972
16,5.7859250993728635,5.406345636948295
0,5.791589035987854,5.4039676569510195
1,5.771219301700592,5.418313565461532
2,5.764691115379334,5.416120881619661
3,5.781547236919403,5.408965110778809
4,5.745158547401428,5.4050099538720175
5,5.764680527687073,5.40758152284484
6,5.788615098953247,5.419834102409474
7,5.755505653381348,5.428862944893215
8,5.778360439300537,5.4188265109407725
9,5.772660603523255,5.422380246977875
10,5.7607609963417055,5.404668980750484
11,5.75491466999054,5.4106448491414385
12,5.763958525657654,5.408544505851856
13,5.7426535229682925,5.41273193774016
14,5.721464052677154,5.401692431905995
15,5.7592122964859005,5.415607141411823
16,5.730867010116577,5.405685300412386
17,5.7752807087898255,5.399222194284633
18,5.773590294361115,5.412000828895016
19,5.765780074119568,5.401795898658642
